Name,Full name,Monomer SMILES,Repeat unit SMILES,Rescode,Parameterized
hP3MP,,SCCC(=O)O,SCCC(=O)O,,
mP3MP,,SCCC(=O)O,SCCC(=O)O,,
tP3MP,,SCCC(=O)O,SCCC(=O)O,,
hP3H5BzV,3-Hydroxy-5-benzoylvalerate,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O,,
mP3H5BzV,3-Hydroxy-5-benzoylvalerate,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O,,
tP3H5BzV,3-Hydroxy-5-benzoylvalerate,O[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCC(=O)C1=CC=CC=C1)CC(=O)O,,
hP3H6BzHx,3-Hydroxy-6-benzoylhexanoate,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O,,
mP3H6BzHx,3-Hydroxy-6-benzoylhexanoate,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O,,
tP3H6BzHx,3-Hydroxy-6-benzoylhexanoate,O[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCCC(=O)C1=CC=CC=C1)CC(=O)O,,
hP3H7BzHp,3-Hydroxy-7-benzoylheptanoate,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O,,
mP3H7BzHp,3-Hydroxy-7-benzoylheptanoate,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O,,
tP3H7BzHp,3-Hydroxy-7-benzoylheptanoate,O[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O,[C@H](CCCCC(=O)C1=CC=CC=C1)CC(=O)O,,
hP3AP,,O[C@@H](N)CC(=O)O,[C@@H](N)CC(=O)O,,
mP3AP,,O[C@@H](N)CC(=O)O,[C@@H](N)CC(=O)O,,
tP3AP,,O[C@@H](N)CC(=O)O,[C@@H](N)CC(=O)O,,
hP3BoylP,,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O,[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O,,
mP3BoylP,,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O,[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O,,
tP3BoylP,,O[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O,[C@@H](C(=O)C1=CC=CC=C1)CC(=O)O,,
hP3OHP,,OC(O)CC(=O)O,C(O)CC(=O)O,,
mP3OHP,,OC(O)CC(=O)O,C(O)CC(=O)O,,
tP3OHP,,OC(O)CC(=O)O,C(O)CC(=O)O,,
hP3CoxyP,,O[C@@H](C(=O)O)CC(=O)O,[C@@H](C(=O)O)CC(=O)O,,
mP3CoxyP,,O[C@@H](C(=O)O)CC(=O)O,[C@@H](C(=O)O)CC(=O)O,,
tP3CoxyP,,O[C@@H](C(=O)O)CC(=O)O,[C@@H](C(=O)O)CC(=O)O,,
hP3CnylB,,O[C@@H](C=O)CC(=O)O,[C@@H](C=O)CC(=O)O,,
mP3CnylB,,O[C@@H](C=O)CC(=O)O,[C@@H](C=O)CC(=O)O,,
tP3CnylB,,O[C@@H](C=O)CC(=O)O,[C@@H](C=O)CC(=O)O,,
hP3H4MeV,,O[C@@H](C(C)C)CC(=O)O,[C@@H](C(C)C)CC(=O)O,,y
mP3H4MeV,,O[C@@H](C(C)C)CC(=O)O,[C@@H](C(C)C)CC(=O)O,,y
tP3H4MeV,,O[C@@H](C(C)C)CC(=O)O,[C@@H](C(C)C)CC(=O)O,,y
hP3H5MeHx,,O[C@H](CC(C)C)CC(=O)O,[C@H](CC(C)C)CC(=O)O,,
mP3H5MeHx,,O[C@H](CC(C)C)CC(=O)O,[C@H](CC(C)C)CC(=O)O,,
tP3H5MeHx,,O[C@H](CC(C)C)CC(=O)O,[C@H](CC(C)C)CC(=O)O,,
hP3H6MeHp,,O[C@H](CCC(C)C)CC(=O)O,[C@H](CCC(C)C)CC(=O)O,,
mP3H6MeHp,,O[C@H](CCC(C)C)CC(=O)O,[C@H](CCC(C)C)CC(=O)O,,
tP3H6MeHp,,O[C@H](CCC(C)C)CC(=O)O,[C@H](CCC(C)C)CC(=O)O,,
hP3H7MeO,,O[C@H](CCCC(C)C)CC(=O)O,[C@H](CCCC(C)C)CC(=O)O,,
mP3H7MeO,,O[C@H](CCCC(C)C)CC(=O)O,[C@H](CCCC(C)C)CC(=O)O,,
tP3H7MeO,,O[C@H](CCCC(C)C)CC(=O)O,[C@H](CCCC(C)C)CC(=O)O,,
hP3H8MeN,,O[C@H](CCCCC(C)C)CC(=O)O,[C@H](CCCCC(C)C)CC(=O)O,,
mP3H8MeN,,O[C@H](CCCCC(C)C)CC(=O)O,[C@H](CCCCC(C)C)CC(=O)O,,
tP3H8MeN,,O[C@H](CCCCC(C)C)CC(=O)O,[C@H](CCCCC(C)C)CC(=O)O,,
hP3H4EtHx,,O[C@@H](C(CC)CC)CC(=O)O,[C@@H](C(CC)CC)CC(=O)O,,
mP3H4EtHx,,O[C@@H](C(CC)CC)CC(=O)O,[C@@H](C(CC)CC)CC(=O)O,,
tP3H4EtHx,,O[C@@H](C(CC)CC)CC(=O)O,[C@@H](C(CC)CC)CC(=O)O,,
hP3H5EtHp,,O[C@H](CC(CC)CC)CC(=O)O,[C@H](CC(CC)CC)CC(=O)O,,
mP3H5EtHp,,O[C@H](CC(CC)CC)CC(=O)O,[C@H](CC(CC)CC)CC(=O)O,,
tP3H5EtHp,,O[C@H](CC(CC)CC)CC(=O)O,[C@H](CC(CC)CC)CC(=O)O,,
hP3H5pMePhV,3-Hydroxy-5-(4-methylphenyl)valerate,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O,[C@H](CCC1=CC=C(C)C=C1)CC(=O)O,,
mP3H5pMePhV,3-Hydroxy-5-(4-methylphenyl)valerate,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O,[C@H](CCC1=CC=C(C)C=C1)CC(=O)O,,
tP3H5pMePhV,3-Hydroxy-5-(4-methylphenyl)valerate,O[C@H](CCC1=CC=C(C)C=C1)CC(=O)O,[C@H](CCC1=CC=C(C)C=C1)CC(=O)O,,
hP3H5mMePhV,3-Hydroxy-5-(3-methylphenyl)valerate,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O,[C@H](CCC1=CC(C)=CC=C1)CC(=O)O,,
mP3H5mMePhV,3-Hydroxy-5-(3-methylphenyl)valerate,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O,[C@H](CCC1=CC(C)=CC=C1)CC(=O)O,,
tP3H5mMePhV,3-Hydroxy-5-(3-methylphenyl)valerate,O[C@H](CCC1=CC(C)=CC=C1)CC(=O)O,[C@H](CCC1=CC(C)=CC=C1)CC(=O)O,,
hP3H6pMePhHx,3-Hydroxy-6-(4-methylphenyl)hexanoate,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O,[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O,,
mP3H6pMePhHx,3-Hydroxy-6-(4-methylphenyl)hexanoate,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O,[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O,,
tP3H6pMePhHx,3-Hydroxy-6-(4-methylphenyl)hexanoate,O[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O,[C@H](CCCC1=CC=C(C)C=C1)CC(=O)O,,
hP3H6mMePhHx,3-Hydroxy-6-(3-methylphenyl)hexanoate,O[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O,[C@H](CCCC1=CC(C)=CC=C1)CC(=O)O,,
