PHA_type,component,readable_name,residue_code,smiles
3H6PhHX,mainchain,mP3H6PhHX,ADY,O[C@H](CCCC1=CC=CC=C1)CC(=O)O
3H6PhHX,tail,tP3H6PhHX,ADZ,O[C@H](CCCC1=CC=CC=C1)CC(=O)O
3H7PhHP,trimer,P3H7PhHP_3,AEA,O[C@H](CCCCC1=CC=CC=C1)CC(=O)O[C@H](CCCCC1=CC=CC=C1)CC(=O)O[C@H](CCCCC1=CC=CC=C1)CC(=O)O
3H7PhHP,head,hP3H7PhHP,AEB,O[C@H](CCCCC1=CC=CC=C1)CC(=O)O
3H7PhHP,mainchain,mP3H7PhHP,AEC,O[C@H](CCCCC1=CC=CC=C1)CC(=O)O
3H7PhHP,tail,tP3H7PhHP,AED,O[C@H](CCCCC1=CC=CC=C1)CC(=O)O
3H8PhO,trimer,P3H8PhO_3,AEE,O[C@H](CCCCCC1=CC=CC=C1)CC(=O)O[C@H](CCCCCC1=CC=CC=C1)CC(=O)O[C@H](CCCCCC1=CC=CC=C1)CC(=O)O
3H8PhO,head,hP3H8PhO,AEF,O[C@H](CCCCCC1=CC=CC=C1)CC(=O)O
3H8PhO,mainchain,mP3H8PhO,AEG,O[C@H](CCCCCC1=CC=CC=C1)CC(=O)O
3H8PhO,tail,tP3H8PhO,AEH,O[C@H](CCCCCC1=CC=CC=C1)CC(=O)O
3H4PxB,trimer,P3H4PxB_3,AEI,O[C@@H](COC1=CC=CC=C1)CC(=O)O[C@@H](COC1=CC=CC=C1)CC(=O)O[C@@H](COC1=CC=CC=C1)CC(=O)O
3H4PxB,head,hP3H4PxB,AEJ,O[C@@H](COC1=CC=CC=C1)CC(=O)O
3H4PxB,mainchain,mP3H4PxB,AEK,O[C@@H](COC1=CC=CC=C1)CC(=O)O
3H4PxB,tail,tP3H4PxB,AEL,O[C@@H](COC1=CC=CC=C1)CC(=O)O
3H5PxV,trimer,P3H5PxV_3,AEM,O[C@H](CCOC1=CC=CC=C1)CC(=O)O[C@H](CCOC1=CC=CC=C1)CC(=O)O[C@H](CCOC1=CC=CC=C1)CC(=O)O
3H5PxV,head,hP3H5PxV,AEN,O[C@H](CCOC1=CC=CC=C1)CC(=O)O
3H5PxV,mainchain,mP3H5PxV,AEO,O[C@H](CCOC1=CC=CC=C1)CC(=O)O
3H5PxV,tail,tP3H5PxV,AEP,O[C@H](CCOC1=CC=CC=C1)CC(=O)O
3H6PhHx,trimer,P3H6PhHx_3,AEQ,O[C@H](CCCOC1=CC=CC=C1)CC(=O)O[C@H](CCCOC1=CC=CC=C1)CC(=O)O[C@H](CCCOC1=CC=CC=C1)CC(=O)O
3H6PhHx,head,hP3H6PhHx,AER,O[C@H](CCCOC1=CC=CC=C1)CC(=O)O
3H6PhHx,mainchain,mP3H6PhHx,AES,O[C@H](CCCOC1=CC=CC=C1)CC(=O)O
3H6PhHx,tail,tP3H6PhHx,AET,O[C@H](CCCOC1=CC=CC=C1)CC(=O)O
